Symbol,Company Name (EN),Company Name (TH),Industry,Sector,Stakeholder 1,Share % 1,Stakeholder 2,Share % 2,Stakeholder 3,Share % 3,Stakeholder 4,Share % 4,Stakeholder 5,Share % 5
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),TECH,ICT,บริษัท  กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),40.44,SINGTEL STRATEGIC INVESTMENTS PTE LTD.,19.1,Thai NVDR Company Limited,7.63,RAFFLE NOMINEES (PTE) LTD S/A SINGTEL STRATEGIC INVESTMENTS PTE LTD.,5.67,กองทุนรวม  วายุภักษ์หนึ่ง,2.97
AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),SERVICE,TRANS,กระทรวงการคลัง,70.0,Thai NVDR Company Limited,3.28,กองทุนรวม  วายุภักษ์หนึ่ง,2.42,SOCIAL SECURITY OFFICE,1.37,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,1.2
AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),PROPCON,PROP,บริษัท  ทีซีซี บริหารธุรกิจ จำกัด,44.96,"TCC RETAIL CO.,LTD",29.98,NOMURA SINGAPORE LIMITED-CUSTOMER SEGREGATED ACCOUNT,4.47,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,2.16,กองทุนรวม  วายุภักษ์หนึ่ง,1.91
BANPU,BANPU PUBLIC COMPANY LIMITED,บริษัท บ้านปู จำกัด (มหาชน),RESOURC,ENERG,บริษัท  น้ำตาลมิตรผล จำกัด,8.26,Thai NVDR Company Limited,8.09,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,2.83,นาย ประทีป ตั้งมติธรรม,1.84,บริษัท  ทุนมิตรสยาม จำกัด,1.73
BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,ธนาคารกรุงเทพ จำกัด (มหาชน),FINCIAL,BANK,Thai NVDR Company Limited,23.38,บริษัท  ซิตี้เรียลตี้ จำกัด,4.7,SOCIAL SECURITY OFFICE,4.0,STATE STREET EUROPE LIMITED,2.73,STATE STREET BANK AND TRUST COMPANY,2.51
BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,บริษัท กรุงเทพดุสิตเวชการ จำกัด(มหาชน),SERVICE,HELTH,Thai NVDR Company Limited,9.7,MR. Prasert Prasarttong-osoth,9.18,น.ส. ปรมาภรณ์ ปราสาททองโอสถ,5.91,The Viriyah Insurance Public Company limited,4.27,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.78
BEM,BANGKOK EXPRESSWAY AND METRO  PUBLIC COMPANY LIMITED,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),SERVICE,TRANS,บริษัท  ช.การช่าง จำกัด (มหาชน),42.26,MASS RAPID TRANSIT AUTHORITY OF THAILAND,8.22,ธนาคาร  กรุงไทย จำกัด (มหาชน),5.33,Thai NVDR Company Limited,3.16,SOCIAL SECURITY OFFICE,3.05
BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,บริษัท โรงพยาบาลบำรุงราษฎร์ จำกัด (มหาชน),SERVICE,HELTH,Thai NVDR Company Limited,10.63,บริษัท  กรุงเทพประกันภัย จำกัด (มหาชน),9.96,UOB KAY HIAN (HONG KONG) LIMITED - Client Account,7.78,BANGKOK BANK PUBLIC COMPANY LIMITED,6.7,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.56
BJC,BERLI JUCKER PUBLIC COMPANY LIMITED,บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน),SERVICE,COMM,บริษัท  ทีซีซี คอร์ปอเรชั่น จำกัด,45.68,บริษัท  ทีซีซี โฮลดิ้งส์ (2519) จำกัด,29.32,SOCIAL SECURITY OFFICE,4.1,RAFFLES NOMINEES (PTE) LIMITED,3.92,THE BANK OF NEW YORK (NOMINEES) LIMITED,2.58
BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SERVICE,TRANS,MR. Keeree Kanjanapas,31.73,MR. Kavin Kanjanapas,11.17,Thai NVDR Company Limited,5.5,BANGKOK BANK PUBLIC COMPANY LIMITED,4.48,CITIBANK NOMINEES SINGAPORE PTE LTD-A/C GIC C,3.19
